,file,size(byte),size(MB),size(GB),atime,mtime,ctime
0,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\COMMIT_EDITMSG,16,0,0,2022-08-30 02:56:16,2022-08-30 02:56:16,2022-07-01 02:00:22
1,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\config,364,0,0,2022-09-04 12:11:17,2022-07-01 01:41:54,2022-07-01 01:41:54
2,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\description,73,0,0,2022-08-20 19:05:32,2022-07-01 01:41:51,2022-07-01 01:41:51
3,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\FETCH_HEAD,102,0,0,2022-09-04 11:58:52,2022-09-04 11:58:52,2022-07-01 01:42:59
4,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\HEAD,21,0,0,2022-09-04 12:11:17,2022-07-01 01:41:52,2022-07-01 01:41:52
5,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\hooks\applypatch-msg.sample,478,0,0,2022-08-20 19:05:32,2022-07-01 01:41:51,2022-07-01 01:41:51
6,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\hooks\commit-msg.sample,896,0,0,2022-08-20 19:05:32,2022-07-01 01:41:51,2022-07-01 01:41:51
7,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\hooks\fsmonitor-watchman.sample,4655,0,0,2022-08-20 19:05:32,2022-07-01 01:41:51,2022-07-01 01:41:51
8,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\hooks\post-update.sample,189,0,0,2022-08-20 19:05:32,2022-07-01 01:41:51,2022-07-01 01:41:51
9,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\hooks\pre-applypatch.sample,424,0,0,2022-08-20 19:05:32,2022-07-01 01:41:51,2022-07-01 01:41:51
10,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\hooks\pre-commit.sample,1643,0,0,2022-08-20 19:05:32,2022-07-01 01:41:51,2022-07-01 01:41:51
11,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\hooks\pre-merge-commit.sample,416,0,0,2022-08-20 19:05:32,2022-07-01 01:41:51,2022-07-01 01:41:51
12,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\hooks\pre-push.sample,1374,0,0,2022-08-20 19:05:32,2022-07-01 01:41:51,2022-07-01 01:41:51
13,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\hooks\pre-rebase.sample,4898,0,0,2022-08-20 19:05:32,2022-07-01 01:41:51,2022-07-01 01:41:51
14,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\hooks\pre-receive.sample,544,0,0,2022-08-20 19:05:32,2022-07-01 01:41:51,2022-07-01 01:41:51
15,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\hooks\prepare-commit-msg.sample,1492,0,0,2022-08-20 19:05:32,2022-07-01 01:41:51,2022-07-01 01:41:51
16,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\hooks\push-to-checkout.sample,2783,0,0,2022-08-20 19:05:32,2022-07-01 01:41:51,2022-07-01 01:41:51
17,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\hooks\update.sample,3650,0,0,2022-08-20 19:05:32,2022-07-01 01:41:51,2022-07-01 01:41:51
18,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\index,3371,0,0,2022-09-04 12:11:17,2022-08-30 02:56:16,2022-08-30 02:56:16
19,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\info\exclude,240,0,0,2022-09-04 12:11:17,2022-07-01 01:41:51,2022-07-01 01:41:51
20,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\logs\HEAD,15124,0,0,2022-09-04 11:58:54,2022-08-30 02:56:16,2022-07-01 01:41:52
21,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\logs\refs\heads\main,15124,0,0,2022-08-30 02:56:16,2022-08-30 02:56:16,2022-07-01 01:41:52
22,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\logs\refs\remotes\origin\HEAD,4724,0,0,2022-09-04 11:58:53,2022-09-04 11:58:53,2022-07-01 01:41:52
23,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\logs\refs\remotes\origin\main,13406,0,0,2022-08-30 02:56:18,2022-08-30 02:56:18,2022-07-01 02:00:24
24,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\00\571b0584e5fbbdea8962dbc63829b0be094dd6,148,0,0,2022-08-20 19:05:32,2022-08-15 13:42:08,2022-08-15 13:42:08
25,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\01\48b1e171beb462d47e932e481d83d4a4e72358,1995,0,0,2022-08-20 19:05:32,2022-07-30 17:22:44,2022-07-30 17:22:44
26,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\02\f7a2733b2d3929262557f2cf31820659c0c323,173,0,0,2022-09-04 11:58:54,2022-08-14 12:36:56,2022-08-14 12:36:56
