,file,size(byte),size(B),size(MB),size(GB),atime,mtime,ctime
0,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\COMMIT_EDITMSG,14,1.8,0.22,0.027,2022-08-28 16:32:56,2022-08-28 16:32:56,2022-07-01 02:00:22
1,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\config,364,45.5,5.69,0.711,2022-08-30 01:41:38,2022-07-01 01:41:54,2022-07-01 01:41:54
2,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\description,73,9.1,1.14,0.143,2022-08-20 19:05:32,2022-07-01 01:41:51,2022-07-01 01:41:51
3,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\FETCH_HEAD,102,12.8,1.59,0.199,2022-08-30 01:32:30,2022-08-30 01:32:30,2022-07-01 01:42:59
4,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\HEAD,21,2.6,0.33,0.041,2022-08-30 01:41:38,2022-07-01 01:41:52,2022-07-01 01:41:52
5,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\hooks\applypatch-msg.sample,478,59.8,7.47,0.934,2022-08-20 19:05:32,2022-07-01 01:41:51,2022-07-01 01:41:51
6,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\hooks\commit-msg.sample,896,112.0,14.0,1.75,2022-08-20 19:05:32,2022-07-01 01:41:51,2022-07-01 01:41:51
7,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\hooks\fsmonitor-watchman.sample,4655,581.9,72.73,9.092,2022-08-20 19:05:32,2022-07-01 01:41:51,2022-07-01 01:41:51
8,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\hooks\post-update.sample,189,23.6,2.95,0.369,2022-08-20 19:05:32,2022-07-01 01:41:51,2022-07-01 01:41:51
9,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\hooks\pre-applypatch.sample,424,53.0,6.62,0.828,2022-08-20 19:05:32,2022-07-01 01:41:51,2022-07-01 01:41:51
10,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\hooks\pre-commit.sample,1643,205.4,25.67,3.209,2022-08-20 19:05:32,2022-07-01 01:41:51,2022-07-01 01:41:51
11,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\hooks\pre-merge-commit.sample,416,52.0,6.5,0.812,2022-08-20 19:05:32,2022-07-01 01:41:51,2022-07-01 01:41:51
12,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\hooks\pre-push.sample,1374,171.8,21.47,2.684,2022-08-20 19:05:32,2022-07-01 01:41:51,2022-07-01 01:41:51
